Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,On/off,Sum on/off ramps,Sum nominal ramps,Number on/offs
2020-01-02,92516.698921,55699.3,51234.522047,55.378675,8.888215,569669.254201,252639.097063,0.0,0.0,0.0,4464.777953,,170.0,4880.83085,15.0
2020-01-03,91553.700976,59750.9,55257.043449,60.354789,10.239003,745595.344201,191823.240339,0.0,0.0,0.0,4493.856551,,990.0,5055.300703,13.0
2020-01-04,85195.733459,38968.9,36785.562192,43.177705,11.598604,666827.704201,321323.842504,0.0,0.0,0.0,2183.337808,,40.0,5399.553865,21.0
2020-01-05,83734.312207,57708.6,50915.481874,60.805995,10.55895,688862.674201,195283.738522,0.0,0.0,0.0,6793.118126,,1128.0,3937.818861,10.0
2020-01-06,92331.857102,71766.6,63290.32544,68.546575,6.459377,456105.534201,140300.708575,0.0,0.0,0.0,8476.27456,,294.0,3834.448312,11.0
2020-01-07,93175.83629,78994.1,69499.770394,74.589908,4.661263,326702.064201,107615.01829,0.0,0.0,0.0,9494.329606,,162.0,2915.238621,9.0
2020-01-08,94657.457261,72630.8,62109.086124,65.614573,8.104285,596752.314201,170378.658323,0.0,0.0,0.0,10521.713876,,666.0,4504.695226,33.0
2020-01-09,94060.519372,56069.3,54369.024262,57.802173,10.437415,768267.554201,213481.082721,0.0,0.0,0.0,1700.275738,,1006.0,5459.575539,19.0
2020-01-10,92244.455661,62070.0,56330.308669,61.066335,7.991358,535362.414201,201796.091922,0.0,0.0,0.0,5739.691331,,340.0,4410.127943,4.0
2020-01-11,86069.579788,35779.2,35779.2,41.570088,12.293895,698553.924201,359576.448644,0.0,0.0,0.0,0.0,,122.0,5238.214719,7.0
2020-01-12,84755.023919,60567.2,53420.624372,63.029449,8.018764,505438.504201,174192.010032,0.0,0.0,0.0,7146.575628,,472.0,3134.558763,9.0
2020-01-13,94585.844278,49891.8,49891.8,52.747639,9.761918,629388.234201,293951.006088,0.0,0.0,0.0,0.0,,124.0,5574.769641,5.0
2020-01-14,97518.968937,61147.8,53948.191426,55.320716,11.094383,814931.474201,266981.324137,0.0,0.0,0.0,7199.608574,,1020.0,6234.235325,20.0
2020-01-15,96173.719335,31975.8,31629.560843,32.887946,15.841245,1071617.964201,451893.452411,0.0,0.0,0.0,346.239157,,570.0,7371.992698,7.0
2020-01-16,94571.424833,42829.4,41329.239331,43.701614,11.919213,748252.464201,378964.46457,0.0,0.0,0.0,1500.160669,,194.0,6245.677578,18.0
2020-01-17,95360.265693,74064.7,64743.208322,67.893276,5.969984,420154.934201,149144.323211,0.0,0.0,0.0,9321.491678,,62.0,3512.09297,2.0
2020-01-18,90405.378419,39365.5,37839.538818,41.855407,13.820169,834087.824201,415329.774987,0.0,0.0,0.0,1525.961182,,834.0,4959.196486,7.0
2020-01-19,88194.348015,29909.6,28007.910096,31.757035,14.949172,850411.564201,468020.911677,0.0,0.0,0.0,1901.689904,,214.0,5391.361094,10.0
2020-01-20,93982.898545,40585.4,39152.633269,41.659317,13.806369,894131.344201,403431.265895,0.0,0.0,0.0,1432.766731,,772.0,6205.299322,7.0
2020-01-21,93268.953449,41444.7,39789.258846,42.660776,12.030239,731774.184201,390273.589191,0.0,0.0,0.0,1655.441154,,122.0,4951.223916,21.0
2020-01-22,92133.348086,48364.5,46486.319303,50.455476,10.618744,693670.064201,284670.373038,0.0,0.0,0.0,1878.180697,,448.0,6080.111339,26.0
2020-01-23,93371.383648,68812.8,60254.421945,64.532001,8.295429,596106.584201,178449.057982,0.0,0.0,0.0,8558.378055,,618.0,4755.951821,17.0
2020-01-24,92478.299678,71308.9,60543.000641,65.467251,7.142639,526622.364201,133916.783814,0.0,0.0,0.0,10765.899359,,356.0,4269.387504,10.0
2020-01-25,87842.412729,73903.2,59021.176917,67.18984,6.070164,378985.074201,154232.817361,0.0,0.0,0.0,14882.023083,,102.0,2920.403525,18.0
2020-01-26,85498.434815,67986.2,61373.56136,71.783257,6.908878,499952.044201,90746.236219,0.0,0.0,0.0,6612.63864,,762.0,3944.073224,34.0
2020-01-27,92788.108305,80834.7,68466.1274,73.78761,5.414562,406452.544201,95954.407056,0.0,0.0,0.0,12368.5726,,270.0,3152.092111,18.0
2020-01-28,90381.329912,67395.6,62625.36667,69.290158,7.454863,562620.914201,111159.52385,0.0,0.0,0.0,4770.23333,,804.0,4645.477283,9.0
2020-01-29,91494.663614,81720.0,68501.122838,74.868982,4.829251,342943.814201,98906.920539,0.0,0.0,0.0,13218.877162,,248.0,2063.600257,12.0
2020-01-30,91811.113722,70329.8,62564.668843,68.144984,7.663587,561609.734201,141992.755526,0.0,0.0,0.0,7765.131157,,752.0,4372.091182,31.0
2020-01-31,90679.657624,45653.8,44810.515165,49.416282,11.541436,797037.324201,249536.123503,0.0,0.0,0.0,843.284835,,516.0,6184.038051,20.0
2020-02-01,83651.648528,73661.9,61117.071543,73.061407,5.623022,362655.304201,107719.723901,0.0,0.0,0.0,12544.828457,,386.0,2798.632089,15.0
2020-02-02,81339.434907,51452.3,45548.285918,55.99779,11.198958,669960.964201,240955.939656,0.0,0.0,0.0,5904.014082,,1004.0,3117.732236,10.0
2020-02-03,90249.594427,37517.2,36791.099331,40.765944,14.493615,939448.424201,368594.43894,0.0,0.0,0.0,726.100669,,802.0,5868.652053,19.0
2020-02-04,91052.363245,26600.7,26102.760313,28.667856,15.642666,953768.734201,470532.968658,0.0,0.0,0.0,497.939687,,68.0,5936.010697,11.0
2020-02-05,91249.401148,40095.8,38329.800148,42.005536,13.405318,820810.554201,402416.725608,0.0,0.0,0.0,1765.999852,,850.0,5505.707158,7.0
2020-02-06,90653.364613,36533.6,35686.709011,39.366116,13.564985,835225.694201,394485.871491,0.0,0.0,0.0,846.890989,,526.0,5880.26155,11.0
2020-02-07,89021.855989,56665.1,51291.890064,57.617188,8.34923,517456.344201,225807.588201,0.0,0.0,0.0,5373.209936,,170.0,3902.617295,7.0
2020-02-08,83573.799049,30553.2,30020.454545,35.920893,14.42744,754323.964201,451432.023634,0.0,0.0,0.0,532.745455,,476.0,3928.540036,8.0
2020-02-09,82287.799412,26874.7,25424.229622,30.896718,15.172374,786194.544201,462306.705055,0.0,0.0,0.0,1450.470378,,362.0,4191.963828,6.0
2020-02-10,90322.881609,45982.0,44445.63474,49.207503,10.140685,614403.894201,301531.991354,0.0,0.0,0.0,1536.36526,,70.0,4654.983329,22.0
